txn_id,txn_datetime,month,user_id,merchant_id,merchant_name,category,payment_method,amount_usd,cashback_usd,status
132,2025-01-01 01:22:00,2025-01,191,13,Merchant_13,Pharmacy,debit_card,4.03,0.04,success
439,2025-01-01 02:23:00,2025-01,532,14,Merchant_14,Retail,debit_card,15.42,0.15,success
52,2025-01-01 02:39:00,2025-01,74,4,Merchant_04,Pharmacy,debit_card,18.17,0.18,success
229,2025-01-01 03:11:00,2025-01,308,21,Merchant_21,Grocery,debit_card,8.7,0.35,success
611,2025-01-01 03:31:00,2025-01,755,21,Merchant_21,Grocery,bank_transfer,16.11,0.16,success
402,2025-01-01 03:35:00,2025-01,478,18,Merchant_18,Rides,credit_card,3.62,0.04,success
491,2025-01-01 06:42:00,2025-01,600,5,Merchant_05,Grocery,wallet_balance,13.62,0.14,success
254,2025-01-01 06:46:00,2025-01,333,24,Merchant_24,Grocery,bank_transfer,14.91,0.15,success
388,2025-01-01 07:43:00,2025-01,458,22,Merchant_22,Pharmacy,wallet_balance,13.47,0.13,success
172,2025-01-01 08:09:00,2025-01,240,17,Merchant_17,FastFood,wallet_balance,13.4,0.13,success
271,2025-01-01 11:57:00,2025-01,347,2,Merchant_02,Grocery,wallet_balance,19.3,0.19,success
162,2025-01-01 11:57:00,2025-01,235,9,Merchant_09,FastFood,debit_card,6.52,0.07,success
573,2025-01-01 11:59:00,2025-01,710,18,Merchant_18,Rides,wallet_balance,1.41,0.01,success
651,2025-01-01 12:17:00,2025-01,795,2,Merchant_02,Grocery,bank_transfer,22.87,0.23,reversed
485,2025-01-01 13:55:00,2025-01,598,22,Merchant_22,Pharmacy,wallet_balance,8.28,0.08,success
477,2025-01-01 14:37:00,2025-01,595,9,Merchant_09,FastFood,debit_card,4.24,0.17,success
565,2025-01-01 17:24:00,2025-01,700,13,Merchant_13,Pharmacy,wallet_balance,34.68,0.35,success
45,2025-01-01 18:18:00,2025-01,59,8,Merchant_08,Grocery,wallet_balance,4.26,0.17,success
32,2025-01-01 19:00:00,2025-01,39,17,Merchant_17,FastFood,credit_card,1.64,0.07,success
194,2025-01-01 19:01:00,2025-01,260,18,Merchant_18,Rides,credit_card,9.17,0.09,success
19,2025-01-01 19:01:00,2025-01,18,11,Merchant_11,Rides,debit_card,4.05,0.04,success
91,2025-01-01 19:56:00,2025-01,139,8,Merchant_08,Grocery,credit_card,4.78,0.05,success
329,2025-01-01 23:56:00,2025-01,394,14,Merchant_14,Retail,wallet_balance,13.59,0.14,success
400,2025-01-02 00:09:00,2025-01,475,16,Merchant_16,Grocery,wallet_balance,17.52,0.18,success
138,2025-01-02 01:51:00,2025-01,199,3,Merchant_03,Retail,wallet_balance,11.56,0.12,success
433,2025-01-02 01:52:00,2025-01,521,13,Merchant_13,Pharmacy,credit_card,6.23,0.06,success
249,2025-01-02 02:27:00,2025-01,329,8,Merchant_08,Grocery,wallet_balance,9.5,0.38,success
145,2025-01-02 03:17:00,2025-01,206,11,Merchant_11,Rides,debit_card,2.22,0.02,success
264,2025-01-02 03:37:00,2025-01,342,13,Merchant_13,Pharmacy,debit_card,40.68,0.41,success
214,2025-01-02 04:15:00,2025-01,285,14,Merchant_14,Retail,debit_card,25.98,0.26,success
653,2025-01-02 06:23:00,2025-01,795,1,Merchant_01,Pharmacy,credit_card,10.18,0.1,success
157,2025-01-02 08:00:00,2025-01,233,10,Merchant_10,Grocery,wallet_balance,5.21,0.05,success
